id,title,author,year_of_publication,publisher,,,
3896,Keepers of the Earth Teachers Guide,Michael J Caduto,1988,Fulcrum Publishing,,,
3897,Baby B,Michael Ryan,2004,Graywolf Press,,,
3898,Making Room for Making Art: A Thoughtful and Practical Guide to Bringing the Pleasure of Artistic Expression Back into Your Life,Sally Warner,1994,Chicago Review Press,,,
3899,The Book of Questions,Pablo Neruda,1991,Consortium Book Sales &amp Dist,,,
3900,"Fire by Night (Refiner's Fire, 2)",Lynn N. Austin,2003,Bethany House Publishers,,,
3901,Letters from Medjugorje,Wayne Weible,1991,Paraclete Press (MA),,,
3902,First to Fight: An Inside View of the U.S. Marine Corps (Bluejacket Books),Victor H. Krulak,1999,Naval Institute Press,,,
3903,The Damned Don't Drown: The Sinking of the Wilhelm Gustloff (Bluejacket Books),A. V. Sellwood,1996,Naval Institute Press,,,
3904,Deadly Sleep,John Applegate,1988,Pinnacle Books,,,
3905,The White Puma,R.D. Lawrence,1991,Pinnacle Books,,,
3906,"Dream Fish and Road Trips: Fly Fishing Tales from Alaska, Montana, and Beyond",E. Donnall Thomas Jr.,1996,The Lyons Press,,,
3907,Bradymania!: Everything You Always Wanted to Know - And a Few Things You Probably Didnt (25th Anniversary Edition),Elizabeth Moran,1995,Adams Media Corporation,,,
3908,Jacob Marley's Christmas Carol,Tom Mula,1995,Adams Media Corp,,,
3909,Museum of Science Book of Answers &amp Questions,Ann Rae Jonas,1996,Adams Media Corp,,,
3910,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,,,
3911,Life's Little Instruction Book, Volume II,H. Jackson Brown,1993,Thomas Nelson Inc,,
3912,White House Ladies : Fascinating Tales and Colorful Curiosities,Webb Garrison,1996,Rutledge Hill Press,,,
3913,Sailing on the Ice: And Other Stories from the Old Squire's Farm,C. A. Stephens,1996,Thomas Nelson Inc,,,
3914,Allegra Maud Goldman,Edith Konecky,2001,Feminist Press,,,
3915,"A Child Called \""It\"": One Child's Courage to Survive",Dave Pelzer,1995,Health Communications,,,
3916,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,,,
3917,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications,,,
3918,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,Health Communications,,,
3919,Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series),Jack Canfield,1998,HCI Teens,,,
3920,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,,,
3921,Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield,1999,Health Communications,,,
3922,"Chicken Soup for the Cat and Dog Lover's Soul - Celebrating Pets as Family with Stories About Cats, Dogs and Other Critters",Jack Canfield,1999,Health Communications,,,
3923,"Teen Love:  On Relationships, A Book for Teenagers",Kimberly Kirberger,1999,Health Communications,,,
3924,"Chicken Soup for the Parent's Soul : 101 Stories of Loving, Learning and Parenting (Chicken Soup for the Soul (Paper))",Mark Victor Hansen,2000,Health Communications,,,
3925,Chicken Soup for the Writer's Soul : Stories to Open the Heart and Rekindle the Spirit of Writers (Chicken Soup for the Soul),Jack Canfield,2000,Health Communications,,,
3926,Zoot Suit and Other Plays,Luis Valdez,1992,Arte Publico Press,,,
3927,Call of the Wild,Jack London,0,Selldowns/no More Orders,,,
3928,Full House,Janet Evanovich,2002,Audio Renaissance,,,
3929,Trying to Save Piggy Sneed,John Irving,1996,Arcade Publishing,,,
3930,Reviving the Tribe: Regenerating Gay Men's Sexuality and Culture in the Ongoing Epidemic (Haworth Gay &amp Lesbian Studies),Eric E. Rofes,1995,Haworth Press,,,
3931,Bertha Lum (American Printmakers),Mary Evans O'Keefe Gravalos,1991,Smithsonian Inst Pr,,,
3932,"The Practice of Prayer (New Church's Teaching Series, Vol 4)",Margaret Guenther,1998,Cowley Publications,,,
3933,"The Quotable Traveler: Wise Words for Travelers, Explorers, and Wanderers/Miniature Book",Running Press,1994,Running Press Book Publishers,,,
3934,The Jungle Book,G. C. Barrett,1994,Courage Books,,,
3935,Frankenstein (Illustrated Classics Series),Mary Wollstonecraft Shelley,1992,Kidsbooks.Com,,,
3936,Sabrina: Behind the Scenes,Stefanie Scott,1997,Kids Books Inc,,,
3937,Antipodes 10,John Pascal,1995,Noble House,,,
3938,"The Western Guide to Feng Shui: Creating Balance, Harmony, and Prosperity in Your Environment (Feng Shui)",Terah Kathryn Collins,1996,Hay House,,,
3939,Adventures of a Psychic: The Fascinating Inspiring True-Life Story of One of America's Most Successful Clairvoyants,Sylvia Browne,1998,Hay House,,,
3940,Soul's Perfection (Journey of the Soul),Sylvia Browne,2000,Hay House,,,
3941,"The Nature of Good and Evil (Journey of the Soul Series, Book 3)",Sylvia Browne,2001,Hay House,,,
3942,"Meet Felicity: An American Girl : 1774 (The American Girls Collection, Book 1)",Valerie Tripp,1991,Pleasant Company Publications,,,
3943,Meet Addy: An American Girl (American Girls Collection (Paper)),Connie Porter,1993,Jump at the Sun,,,
3944,"Meet Josefina, an American Girl (American Girls Collection (Paper))",Valerie Tripp,1997,Pleasant Company Publications,,,
3945,Josefina's Surprise: A Christmas Story (American Girls Collection (Paper)),Valerie Tripp,1997,Pleasant Company Publications,,,
3946,"Happy Birthday, Josefina!: A Springtime Story (American Girls Collection (Paper))",Valerie Tripp,1998,Pleasant Company Publications,,,
3947,Going for Great (Ag Fiction (American Girl)),Carolee Brockmann,1999,Pleasant Company Publications,,,
3948,Molly Takes Flight (American Girls Short Stories),Valerie Tripp,1999,Pleasant Company Publications,,,
3949,Walt Disney's the Jungle Book: Illustrated Classic,Jim Razzi,1992,Disney Pr,,,
3950,"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,1993,Hyperion Books,,,
3951,"Skin: Talking About Sex, Class &amp Literature",Dorothy Allison,1994,Firebrand Books,,,
3952,The Second Coming of Curly Red,Jody Seay,1999,Firebrand Books,,,
3953,You're Not a Kid Anymore When...,Jeff Foxworthy,1993,Longstreet Press,,,
3954,Down on Ponce: A Novel,Fred Willard,1997,Longstreet Press,,,
3955,The Basic Steps to Successful Homeschooling,Vicki A. Brady,1996,Vital Issues Press,,,
3956,"Preludes and Nocturnes (Sandman, Book 1)",Neil Gaiman,1998,DC Comics,,,
3957,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,DC Comics,,,
3958,"Death: At Death's Door (Vertigo, Number 1)",Jill Thompson,2003,DC Comics,,,
3959,"The Know-It-All's Guide to Life: How to Climb Mount Everest, Cure Hiccups, Live to 100, and Dozens of Other Practical, Unusual, or Just Plain Fantastical Things",John T. Walbaum,2003,Career Press,,,
3960,What Makes a Man Feel Loved,Bob Barnes,1998,Harvest House Publishers,,,
3961,Pretty Good Joke Book: A Prairie Home Companion (Prairie Home Companion),Garrison Keillor,2001,Highbridge Audio,,,
3962,Daughters of Memory,Janis Arnold,1993,Algonquin Books of Chapel Hill,,,
3963,Lightning Song,Lewis Nordan,1998,Algonquin Books of Chapel Hill,,,
3964,Educating Esme: Diary of a Teacher's First Year,Esme Raji Codell,2001,Algonquin Books of Chapel Hill,,,
3965,A Queer Reader,Patrick Higgins,1994,New Press,,,
3966,User Friendly,Illiad,1999,O'Reilly,,,
3967,Photoshop 3 for Macintosh (Visual Quickstart Guide),Elaine Weinmann,1995,Peachpit Press,,,
3968,History of Croatia,Stephen Gazi,0,Barnes Noble Books,,,
3969,Little Princess,Frances Hodgson Burnett,0,Barnes Noble Books,,,
3970,Metamorphoses and Other Stories,Franz Kafka,1996,Dorset Press,,,
3971,"The Feel of Silence (Health, Society, and Policy)",Bonnie Poitras Tucker,1995,Temple University Press,,,
3972,The Tao of Bada Bing: Words of Wisdom from the Sopranos,David Chase,2003,"Carhil Ventures, LLC",,,
3973,"The Western Mysteries: An Encyclopedic Guide to the Sacred Languages &amp Magickal Systems of the World : The Key of It All, Book II (Key of It All)",David Allen Hulse,2000,Llewellyn Publications,,,
3974,Boost Your Brain Power : A Total Program to Strengthen and Expand Your Most Important Resource,Ellen Michaud,1997,MJF Books,,,
3975,The Haunted Omnibus,Ed Laing,1997,MJF Books,,,
3976,Gratitude: Affirming the Good Things in Life,Melody Beattie,2000,MJF Books,,,
3977,Playing It by Heart: Taking Care of Yourself No Matter What,Melody Beattie,2003,MJF Books,,,
3978,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,,,
3979,A Tally of Types: With Additions by Several Hands , And With a New Introduction by Mike Parker,Stanley Morison,1999,David R. Godine Publisher,,
3980,The Elric Saga PT. II,Michael Moorcock,1984,Doubleday Books,,,
3981,Help! I'm Laughing and I Can't Get Up,Liz Curtis Higgs,1998,Thomas Nelson Publishers,,,
3982,WindowsÂ¨ 95 For DummiesÂ¨,Andy Rathbone,1995,John Wiley &amp Sons Inc,,,
3983,Pokemon Tales : Where's Clefairy's Voice? (Pokemon Tales),Junko Wada,1999,VIZ LLC,,,
3984,Rebuilding Coventry: A Tale of Two Cities,Sue Townsend,1997,Soho Press,,,
3985,Was It Something I Said?,Valerie Block,1998,Soho Press,,,
3986,The Distance Between,Eliza Osborne,2000,Soho Press,,,
3987,Edgar the Lion Who Would Be a Good King,Sunny Griffin,1993,Landoll,,,
3988,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll,,,
3989,"Rebekah: Women of Genesis (Women of Genesis, 2)",Orson Scott Card,2001,Shadow Mountain,,,
3990,The Best of Larry King Live: The Greatest Interviews,Larry King,1995,Turner Pub,,,
3991,The Celestine Prophecy : An Experiential Guide,Carol Adrienne,1995,Time Warner Audio Major,,,
3992,"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Nancy Pearl,2003,Sasquatch Books,,,
3993,The Tao of Physics,FRITJOF CAPRA,2000,Shambhala,,,
3994,Man and Boy,Tony Parsons,2001,Sourcebooks Landmark,,,
3995,God-Shaped Hole,Tiffanie DeBartolo,2002,Sourcebooks Landmark,,,
3996,Conversations With God : An Uncommon Dialogue (Book 2),Neale Donald Walsch,1997,Hampton Roads Publishing Company,,,
3997,The Self-Esteem Companion,Matthew McKay,1999,New Harbinger Publications,,,
3998,My Dream of You,Nuala O'Faolain,2001,Riverhead Books,,,
3999,The Kite Runner (Alex Awards (Awards)),Khaled Hosseini,2003,Riverhead Books,,,
4000,Drinking Coffee Elsewhere (Today Show Book Club #11),ZZ Packer,2003,Riverhead Books,,,
4001,Prozac Nation: Young and Depressed in America : A Memoir,Elizabeth Wurtzel,1997,Riverhead Books,,,
4002,The Romance Reader,Pearl Abraham,1996,Riverhead Books,,,
4003,High Fidelity,Nick Hornby,1996,Riverhead Books,,,
4004,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books,,,
4005,Kitchen Table Wisdom: Stories That Heal,Rachel Naomi Remen,1997,Riverhead Books,,,
4006,The Beach,Alex Garland,1998,Riverhead Books,,,
4007,Fever Pitch,Nick Hornby,1998,Riverhead Books,,,
4008,Lambs of God,Marlene Day,1999,Riverhead Books,,,
4009,About a Boy,Nick Hornby,1999,Riverhead Books,,,
4010,High Fidelity,Nick Hornby,2000,Riverhead Books,,,
4011,A Gesture Life,Chang-Rae Lee,2000,Riverhead Books,,,
4012,"My Grandfathers Blessings : Stories of Strength, Refuge, and Belonging",Rachel Naomi Remen M.D.,2001,Riverhead Books,,,
4013,Affinity,Sarah Waters,2002,Riverhead Books,,,
4014,Innocence,Jane Mendelsohn,2001,Riverhead Books,,,
4015,Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,2002,Riverhead Books,,,
4016,How to Be Good,Nick Hornby,2002,Riverhead Books,,,
4017,The Frog King: A Love Story,Adam Davies,2002,Riverhead Books,,,
4018,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,,,
4019,The Giving Heart: Unlocking the Transformative Power of Generosity in Your Life,M. J. Ryan,2000,Conari Press,,,
4020,The Food Revolution: How Your Diet Can Help Save Your Life and Our World,John Robbins,2001,Conari Press,,,
4021,The Diaries of Adam and Eve (Literary Classics),Mark Twain,2000,Prometheus Books,,,
4022,Shadow of the Hegemon,Orson Scott Card,2002,Audio Literature,,,
4023,Catechism of the Catholic Church,Catholic Church,2000,USCCB,,,
4024,The Day I Almost Quit,Frederick J. Moody,1997,F.J. Moody,,,
4025,The Wall,Mary Rinehart,1998,Kensington Publishing Corporation,,,
4026,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,,,
4027,The Patient's Guide to Anesthesia: Making the Right Choices,A. J. Hill,1999,Kensington Publishing Corporation,,,
4028,"Wedding Day Murder: A Lucy Stone Mystery (Meier, Leslie. Lucy Stone Mystery.)",Leslie Meier,2001,Kensington Publishing Corporation,,,
4029,The Dragon Lord's Daughters,Bertrice Small,2004,BRAVA,,,
4030,What Shall I Be (Barbie Carryalong),Rita Chapman Works,1999,Reader's Digest,,,
4031,The Prayer of Jabez: Breaking Through to the Blessed Life,Bruce Wilkinson,2000,Multnomah,,,
4032,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000,Multnomah,,,
4033,The Prayer of Jabez Devotional,Bruce Wilkinson,2001,Multnomah,,,
4034,Maps to Ecstasy: A Healing Journey for the Untamed Spirit,Gabrielle Roth,1998,New World Library,,,
4035,Developing Intuition: Practical Guidance for Daily Life,Shakti Gawain,2001,New World Library,,,
4036,The Quilt of Life: A Patchwork of Devotional Thoughts (Inspirational Library (Paperback)),Mary Tatem,2000,Barbour Publishing,,,
4037,"All Together in One Place: A Novel of Kinship, Courage, and Faith (Kirkpatrick, Jane. Kinship and Courage Historical Series, Bk. 1.)",Jane Kirkpatrick,2000,Waterbrook Press,,,
4038,"No Eye Can See (Kirkpatrick, Jane, Kinship and Courage Historical Series, Bk. 2.)",JANE KIRKPATRICK,2001,WaterBrook Press,,,
4039,Emotional Purity : An Affair of the Heart,Heather Arnel Paulsen,2001,Winepress Publishing,,,
4040,Pets' Letters to God,Mark Bricklin,1999,Rodale Press,,,
4041,The Journey From Here,Bill Bradley,2000,Artisan Publishers,,,
4042,The Not-So-Perfect Picnic,Disney Enterprises Inc,1998,Advance Publishers LLC,,,
4043,What Color Is Your Parachute? A Practical Manual for Job-Hunters &amp Career-Changers,Richard Nelson Bolles,2001,Ten Speed Press,,,
4044,How to Sleep Soundly Tonight: 250 Simple and Natural Ways to Prevent Sleeplessness,Barbara L. Heller,2001,Storey Books,,,
4045,"The Little Book of Big Ideas: Inspiration, Encouragement &amp Tips to Stimulate Creativity and Improve Your Life",Harold R. McAlindon,1999,Cumberland House Publishing,,,
4046,The Great Petrowski: A Fable,Gina Berriault,2000,Counterpoint Press,,,
4047,The Writers Complete Fantasy Reference: An Indispensable Compendium of Myth and Magic,Writer's Digest Books,2000,Writer's Digest Books,,,
4048,Return to Love (Arabesque),Viveca Carlysle,1999,Bet Books,,,
4049,The Diary of a Teenage Girl: An Account in Words and Pictures,Phoebe Gloeckner,2002,Frog Ltd.,,,
4050,"Nothing in This Book Is True, but It's Exactly How Things Are: The Esoteric Meaning of the Monuments on Mars",Bob Frissell,2003,Frog Ltd.,,,
4051,Meet Kit: An American Girl : 1934 (American Girls Collection),Valerie Tripp,2000,Pleasant Company Publications,,,
4052,"School Smarts: All the Right Answers to Homework, Teachers, Popularity, and More!",Brooks Whitney,2000,American Girl,,,
4053,Sang Froyd (Balona Books),Jonathan Pearce,1999,1stBooks Library,,,
4054,"Women Can't Hear What Men Don't Say: Destroying Myths, Creating Love",Warren Farrell Ph.D.,2000,Jeremy P. Tarcher,,,
4055,God Is No Laughing Matter: Observations and Objections on the Spiritual Path,Julia Cameron,2000,Jeremy P. Tarcher,,,
4056,"Sincerely, Andy Rooney",Andy Rooney,2001,PublicAffairs,,,
4057,Franklin Delano Roosevelt: Champion of Freedom,Conrad Black,2003,PublicAffairs,,,
4058,Gideon's Dawn,Michael D. Warden,2003,Promise Press,,,
4059,The Wicked Priest: An Allegory in Two Acts,Bob Levis,2000,1stBooks Library,,,
4060,Living on the Borders: What the Church Can Learn from Ethnic Immigrant Cultures,Mark Griffin,2004,Brazos Press,,,
4061,Technomanifestos: Visions from the Information Revolutionaries,Adam Brate,2002,Thomson Texere,,,
4062,Demonlands,Anthony M. Fauglid,2001,Publishamerica,,,
4063,Heir to Betrayal,Larry Kirk,2001,Publishamerica,,,
4064,The Verb To Bird,Peter Cashwell,2003,Paul Dry Books,,,
4065,The Magic Pudding: Being the Adventures of Bunyip Bluegum and His Friends Bill Barnacle &amp Sam Sawnoff (New York Review Children's Collection),Norman Lindsay,2004,New York Review Children's Collection,,,
4066,Peacetalk 101,Suzette Haden Elgin,2003,Lethe Press,,,
4067,"The Forgotten Treasure (Book of Mormon Sleuth, Vol. 4)",C. B. Andersen,2004,Deseret Book Company,,,
4068,The Grace and Truth Paradox: Responding with Christlike Balance,Randy Alcorn,2003,Multnomah,,,
4069,A Life God Rewards for Teens (The Breakthrough Series),Bruce Wilkinson,2002,Multnomah,,,
4070,The Best Thing I Ever Did for My Marriage : 50 Real Life Stories,Nancy Cobb,2003,Multnomah,,,
4071,Sisterchicks Do the Hula (Sisterchicks),Robin Jones Gunn,2003,Multnomah,,,
4072,"Deep in the Heart: A Novel (Morris, Gilbert. Lone Star Series.)",Gilbert Morris,2003,Integrity Publishers,,,
4073,"Eats, Shoots &amp Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books,,,
4074,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),Trudy Suggs,2003,Alpha Books,,,
4075,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp Noble Books-Imports,,,
4076,The Age of Innocence,Edith Wharton,2004,Barnes &amp Noble Books-Imports,,,
4077,Highland Legacy: Four Generations of Love Are Rooted in Scotland,Tracey V. Bateman,2004,Barbour Publishing,,,
4078,Kansas Brides,Denise Hunter,2004,Barbour Publishing,,,
4079,Nina: Adolescence,Amy Hassinger,2003,Listen &amp Live Audio,,,
4080,"Use What You've Got, and Other Business Lessons I Learned from My Mom",Barbara Corcoran,2003,Listen &amp Live Audio,,,
4081,The Shadow of the Wind,Carlos Ruiz Zafon,2004,The Penguin Press HC,,,
4082,Dad Alert! (Orchard Red Apple S.),Ros Stanley,2000,Orchard Books,,,
4083,The Portable Door,Tom Holt,2004,Orbit Book Co.,,,
4084,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp Small Ltd,,,
4085,Glasgow Zen,Alan Spence,2002,Canongate Books Ltd,,,
4086,I'm Not Scared,Niccolo Ammaniti,2003,Canongate Books,,,
4087,Celtic Myths and Legends,Charles L. Squire,2000,Lomond Books,,,
4088,Cooking for One (Cook's Essentials),Valerie Ferguson,2000,Southwater Publishing,,,
4089,Free,Paul Vincent,2003,Upfront Publishing,,,
4090,The Western way: A practical guide to the Western mystery tradition,Caitlin Matthews,1985,Routledge &amp K. Paul,,,
4091,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,,,
